"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1588","screenshot element tombol login","chromium","2026-05-18","passed","2026-05-18","","visual.spec.js","",""
"","556","POST - buat post baru","chromium","2026-05-18","passed","2026-05-18","","api.spec.js","",""
"","2193","sort produk harga terendah","chromium","2026-05-18","passed","2026-05-18","","checkout.spec.js","",""
"","1903","test berhasil - ada trace","chromium","2026-05-18","passed","2026-05-18","","trace.spec.js","",""
"","1930","login gagal - username kosong","chromium","2026-05-18","passed","2026-05-18","","login.spec.js","",""
"","2252","checkout tanpa isi form - validasi error","chromium","2026-05-18","passed","2026-05-18","","checkout.spec.js","",""
"","3099","logout berhasil","chromium","2026-05-18","passed","2026-05-18","","checkout.spec.js","",""
"","1527","add produk ke cart pakai test data","chromium","2026-05-18","passed","2026-05-18","","fixtures.spec.js","",""
"","972","PUT - update post","chromium","2026-05-18","passed","2026-05-18","","api.spec.js","",""
"","1822","login gagal - username kosong","chromium","2026-05-18","passed","2026-05-18","","login-pom.spec.js","",""
"","2369","login berhasil","chromium","2026-05-18","passed","2026-05-18","","login.spec.js","",""
"","2413","test","chromium","2026-05-18","passed","2026-05-18","","codegen.spec.js","",""
"","2499","has title","chromium","2026-05-18","passed","2026-05-18","","example.spec.js","",""
"","6867","test gagal - lihat trace untuk debug","chromium","2026-05-18","failed","2026-05-18","","trace.spec.js","",""
"","2376","sort produk A-Z","chromium","2026-05-18","passed","2026-05-18","","checkout.spec.js","",""
"","1788","login gagal - password salah","chromium","2026-05-18","passed","2026-05-18","","login-pom.spec.js","",""
"","1919","login berhasil","chromium","2026-05-18","passed","2026-05-18","","login-pom.spec.js","",""
"","2079","login gagal - password salah","chromium","2026-05-18","passed","2026-05-18","","login.spec.js","",""
"","349","GET - ambil list posts","chromium","2026-05-18","passed","2026-05-18","","api.spec.js","",""
"","2376","login dengan user yang di-lock","chromium","2026-05-18","passed","2026-05-18","","checkout.spec.js","",""
"","608","DELETE - hapus post","chromium","2026-05-18","passed","2026-05-18","","api.spec.js","",""
"","2017","get started link","chromium","2026-05-18","passed","2026-05-18","","example.spec.js","",""
"","324","GET - ambil single post","chromium","2026-05-18","passed","2026-05-18","","api.spec.js","",""
"","2085","add multiple produk ke cart","chromium","2026-05-18","passed","2026-05-18","","checkout.spec.js","",""
"","1760","checkout pakai test data","chromium","2026-05-18","passed","2026-05-18","","fixtures.spec.js","",""
"","1656","cek halaman products setelah login","chromium","2026-05-18","passed","2026-05-18","","fixtures.spec.js","",""
"","1370","screenshot halaman login","chromium","2026-05-18","passed","2026-05-18","","visual.spec.js","",""
"","2203","sort produk Z-A","chromium","2026-05-18","passed","2026-05-18","","checkout.spec.js","",""
"","1785","screenshot halaman products","chromium","2026-05-18","passed","2026-05-18","","visual.spec.js","",""
"","2257","remove produk dari cart","chromium","2026-05-18","passed","2026-05-18","","checkout.spec.js","",""
"","1595","cek jumlah produk di halaman","chromium","2026-05-18","passed","2026-05-18","","flaky.spec.js","",""
"","1461","tunggu element muncul - dengan timeout","chromium","2026-05-18","passed","2026-05-18","","flaky.spec.js","",""
"","4045","tunggu API response selesai","chromium","2026-05-18","passed","2026-05-18","","flaky.spec.js","",""
